Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,Thu,September 10,boxscore,New England Patriots,,Pittsburgh Steelers,28,21,361,0,464,1
1,Sun,September 13,boxscore,San Diego Chargers,,Detroit Lions,33,28,483,3,302,2
1,Sun,September 13,boxscore,Buffalo Bills,,Indianapolis Colts,27,14,342,0,304,3
1,Sun,September 13,boxscore,New York Jets,,Cleveland Browns,31,10,333,1,321,5
1,Sun,September 13,boxscore,Cincinnati Bengals,@,Oakland Raiders,33,13,396,0,246,2
1,Sun,September 13,boxscore,Arizona Cardinals,,New Orleans Saints,31,19,427,1,408,1
1,Sun,September 13,boxscore,Carolina Panthers,@,Jacksonville Jaguars,20,9,263,1,265,3
1,Sun,September 13,boxscore,Denver Broncos,,Baltimore Ravens,19,13,219,1,173,2
1,Sun,September 13,boxscore,Dallas Cowboys,,New York Giants,27,26,436,3,289,0
1,Sun,September 13,boxscore,St. Louis Rams,,Seattle Seahawks,34,31,352,3,343,1
1,Sun,September 13,boxscore,Kansas City Chiefs,@,Houston Texans,27,20,330,0,396,2
1,Sun,September 13,boxscore,Green Bay Packers,@,Chicago Bears,31,23,322,0,402,1
1,Sun,September 13,boxscore,Miami Dolphins,@,Washington Redskins,17,10,256,1,349,2
1,Sun,September 13,boxscore,Tennessee Titans,@,Tampa Bay Buccaneers,42,14,309,1,273,2
1,Mon,September 14,boxscore,San Francisco 49ers,,Minnesota Vikings,20,3,395,1,248,1
1,Mon,September 14,boxscore,Atlanta Falcons,,Philadelphia Eagles,26,24,395,2,399,2
2,Thu,September 17,boxscore,Denver Broncos,@,Kansas City Chiefs,31,24,299,1,338,5
2,Sun,September 20,boxscore,Atlanta Falcons,@,New York Giants,24,20,402,0,388,1
2,Sun,September 20,boxscore,New England Patriots,@,Buffalo Bills,40,32,507,2,349,3
2,Sun,September 20,boxscore,Tampa Bay Buccaneers,@,New Orleans Saints,26,19,333,2,323,3
2,Sun,September 20,boxscore,Washington Redskins,,St. Louis Rams,24,10,373,1,213,0
2,Sun,September 20,boxscore,Carolina Panthers,,Houston Texans,24,17,350,1,300,1
2,Sun,September 20,boxscore,Minnesota Vikings,,Detroit Lions,26,16,350,1,323,3
2,Sun,September 20,boxscore,Cincinnati Bengals,,San Diego Chargers,24,19,389,2,354,3
2,Sun,September 20,boxscore,Cleveland Browns,,Tennessee Titans,28,14,274,0,385,3
2,Sun,September 20,boxscore,Oakland Raiders,,Baltimore Ravens,37,33,448,1,493,2
2,Sun,September 20,boxscore,Green Bay Packers,,Seattle Seahawks,27,17,361,1,324,2
2,Sun,September 20,boxscore,Arizona Cardinals,@,Chicago Bears,48,23,300,2,335,2
2,Sun,September 20,boxscore,Pittsburgh Steelers,,San Francisco 49ers,43,18,453,0,409,1
2,Sun,September 20,boxscore,Dallas Cowboys,@,Philadelphia Eagles,20,10,359,2,226,3
2,Sun,September 20,boxscore,Jacksonville Jaguars,,Miami Dolphins,23,20,396,0,386,0
2,Mon,September 21,boxscore,New York Jets,@,Indianapolis Colts,20,7,344,1,343,5
3,Thu,September 24,boxscore,New York Giants,,Washington Redskins,32,21,363,0,393,3
3,Sun,September 27,boxscore,Houston Texans,,Tampa Bay Buccaneers,19,9,413,1,318,1
3,Sun,September 27,boxscore,Pittsburgh Steelers,@,St. Louis Rams,12,6,259,1,258,1
3,Sun,September 27,boxscore,Carolina Panthers,,New Orleans Saints,27,22,434,0,380,2
3,Sun,September 27,boxscore,Buffalo Bills,@,Miami Dolphins,41,14,428,0,391,3
3,Sun,September 27,boxscore,Philadelphia Eagles,@,New York Jets,24,17,231,1,323,4
3,Sun,September 27,boxscore,Arizona Cardinals,,San Francisco 49ers,47,7,446,1,156,4
3,Sun,September 27,boxscore,Atlanta Falcons,@,Dallas Cowboys,39,28,438,0,347,1
3,Sun,September 27,boxscore,New England Patriots,,Jacksonville Jaguars,51,17,483,0,299,1
3,Sun,September 27,boxscore,Denver Broncos,@,Detroit Lions,24,12,354,2,290,3
3,Sun,September 27,boxscore,Cincinnati Bengals,@,Baltimore Ravens,28,24,469,2,398,1
3,Sun,September 27,boxscore,Indianapolis Colts,@,Tennessee Titans,35,33,378,2,433,2
3,Sun,September 27,boxscore,Seattle Seahawks,,Chicago Bears,26,0,371,0,146,0
3,Sun,September 27,boxscore,Oakland Raiders,@,Cleveland Browns,27,20,469,1,355,2
3,Sun,September 27,boxscore,Minnesota Vikings,,San Diego Chargers,31,14,284,1,399,2
3,Mon,September 28,boxscore,Green Bay Packers,,Kansas City Chiefs,38,28,448,0,326,1
4,Thu,October 1,boxscore,Baltimore Ravens,@,Pittsburgh Steelers,23,20,356,2,263,0
4,Sun,October 4,boxscore,New Orleans Saints,,Dallas Cowboys,26,20,438,0,335,0
4,Sun,October 4,boxscore,Denver Broncos,,Minnesota Vikings,23,20,344,2,325,1
4,Sun,October 4,boxscore,San Diego Chargers,,Cleveland Browns,30,27,438,0,432,1
4,Sun,October 4,boxscore,Cincinnati Bengals,,Kansas City Chiefs,36,21,445,0,461,1
4,Sun,October 4,boxscore,Indianapolis Colts,,Jacksonville Jaguars,16,13,326,2,431,0
4,Sun,October 4,boxscore,Atlanta Falcons,,Houston Texans,48,21,378,0,428,4
4,Sun,October 4,boxscore,New York Jets,@,Miami Dolphins,27,14,425,1,226,2
4,Sun,October 4,boxscore,Chicago Bears,,Oakland Raiders,22,20,371,3,243,2
4,Sun,October 4,boxscore,Carolina Panthers,@,Tampa Bay Buccaneers,37,23,244,1,411,5
4,Sun,October 4,boxscore,Green Bay Packers,@,San Francisco 49ers,17,3,362,0,196,1
4,Sun,October 4,boxscore,St. Louis Rams,@,Arizona Cardinals,24,22,328,0,447,3
4,Sun,October 4,boxscore,Washington Redskins,,Philadelphia Eagles,23,20,417,1,320,2
4,Sun,October 4,boxscore,New York Giants,@,Buffalo Bills,24,10,303,1,313,2
